source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD011974_Ingel22290	Homo sapiens	whole-cell lysate	prostate cancer cells	11	PXD011974_Ingel22290_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22290.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel22291	Homo sapiens	whole-cell lysate	prostate cancer cells	12	PXD011974_Ingel22291_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22291.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel22319	Homo sapiens	whole-cell lysate	prostate cancer cells	13	PXD011974_Ingel22319_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22319.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20836	Homo sapiens	whole-cell lysate	prostate cancer cells	14	PXD011974_Ingel20836_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20836.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20838	Homo sapiens	whole-cell lysate	prostate cancer cells	15	PXD011974_Ingel20838_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20838.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel22320	Homo sapiens	whole-cell lysate	prostate cancer cells	16	PXD011974_Ingel22320_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22320.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20847	Homo sapiens	whole-cell lysate	prostate cancer cells	17	PXD011974_Ingel20847_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20847.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20852	Homo sapiens	whole-cell lysate	prostate cancer cells	18	PXD011974_Ingel20852_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20852.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20853	Homo sapiens	whole-cell lysate	prostate cancer cells	19	PXD011974_Ingel20853_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20853.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20834	Homo sapiens	whole-cell lysate	prostate cancer cells	20	PXD011974_Ingel20834_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20834.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20837	Homo sapiens	whole-cell lysate	prostate cancer cells	21	PXD011974_Ingel20837_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20837.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20833	Homo sapiens	whole-cell lysate	prostate cancer cells	22	PXD011974_Ingel20833_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20833.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20850	Homo sapiens	whole-cell lysate	prostate cancer cells	23	PXD011974_Ingel20850_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20850.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20841	Homo sapiens	whole-cell lysate	prostate cancer cells	24	PXD011974_Ingel20841_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20841.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20840	Homo sapiens	whole-cell lysate	prostate cancer cells	25	PXD011974_Ingel20840_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20840.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20854	Homo sapiens	whole-cell lysate	prostate cancer cells	26	PXD011974_Ingel20854_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20854.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel22378	Homo sapiens	whole-cell lysate	prostate cancer cells	27	PXD011974_Ingel22378_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22378.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20844	Homo sapiens	whole-cell lysate	prostate cancer cells	28	PXD011974_Ingel20844_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20844.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20851	Homo sapiens	whole-cell lysate	prostate cancer cells	29	PXD011974_Ingel20851_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20851.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
