source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD003754_PT3281S1F20	Homo sapiens	whole cell lysate	osteosarcoma cell line	11	PXD003754_PT3281S1F20_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3281S1F20.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT1781S1F07	Homo sapiens	whole cell lysate	osteosarcoma cell line	12	PXD003754_PT1781S1F07_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT1781S1F07.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT2003S1F34	Homo sapiens	whole cell lysate	osteosarcoma cell line	13	PXD003754_PT2003S1F34_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT2003S1F34.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT1781S1F10	Homo sapiens	whole cell lysate	osteosarcoma cell line	14	PXD003754_PT1781S1F10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT1781S1F10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3802SN14014	Homo sapiens	whole cell lysate	osteosarcoma cell line	15	PXD003754_PTSS3802SN14014_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3802SN14014.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3802SN14046	Homo sapiens	whole cell lysate	osteosarcoma cell line	16	PXD003754_PTSS3802SN14046_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3802SN14046.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3442S1F05	Homo sapiens	whole cell lysate	osteosarcoma cell line	17	PXD003754_PT3442S1F05_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3442S1F05.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3801SN13973	Homo sapiens	whole cell lysate	osteosarcoma cell line	18	PXD003754_PTSS3801SN13973_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3801SN13973.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3802SN14022	Homo sapiens	whole cell lysate	osteosarcoma cell line	19	PXD003754_PTSS3802SN14022_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3802SN14022.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT2003S1F19	Homo sapiens	whole cell lysate	osteosarcoma cell line	20	PXD003754_PT2003S1F19_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT2003S1F19.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3802SN14034	Homo sapiens	whole cell lysate	osteosarcoma cell line	21	PXD003754_PTSS3802SN14034_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3802SN14034.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3801SN13966	Homo sapiens	whole cell lysate	osteosarcoma cell line	22	PXD003754_PTSS3801SN13966_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3801SN13966.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
