source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD011071_TRAPP_cerevisiae_1360_S3_8	Saccharomyces cerevisiae (baker's yeast)	not available	not available	11	PXD011071_TRAPP_cerevisiae_1360_S3_8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_1360_S3_8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_1360_S3_1	Saccharomyces cerevisiae	not available	not available	12	PXD011071_TRAPP_cerevisiae_1360_S3_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_1360_S3_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_1360_S2_5	Saccharomyces cerevisiae	not available	not available	13	PXD011071_TRAPP_cerevisiae_1360_S2_5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_1360_S2_5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_Sorbic_cerevisiae_PARTRAPP_A_3	Saccharomyces cerevisiae	not available	not available	14	PXD011071_Sorbic_cerevisiae_PARTRAPP_A_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	Sorbic_cerevisiae_PARTRAPP_A_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_1360_S6_5	Saccharomyces cerevisiae	not available	not available	15	PXD011071_TRAPP_cerevisiae_1360_S6_5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_1360_S6_5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_PARTRAPP_cerevisiae_A_4	Saccharomyces cerevisiae	not available	not available	16	PXD011071_PARTRAPP_cerevisiae_A_4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	PARTRAPP_cerevisiae_A_4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_Escherichia_1360_B_4	Escherichia coli	not available	not available	17	PXD011071_TRAPP_Escherichia_1360_B_4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_Escherichia_1360_B_4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_PARTRAPP_cerevisiae_H1_2	Saccharomyces cerevisiae	not available	not available	18	PXD011071_PARTRAPP_cerevisiae_H1_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	PARTRAPP_cerevisiae_H1_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_1360_S4_3	Saccharomyces cerevisiae	not available	not available	19	PXD011071_TRAPP_cerevisiae_1360_S4_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_1360_S4_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_PARTRAPP_cerevisiae_H1_1	Saccharomyces cerevisiae	not available	not available	20	PXD011071_PARTRAPP_cerevisiae_H1_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	PARTRAPP_cerevisiae_H1_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_1360_S4_2	Saccharomyces cerevisiae	not available	not available	21	PXD011071_TRAPP_cerevisiae_1360_S4_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_1360_S4_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_Escherichia_800_2A1	Escherichia coli	not available	not available	22	PXD011071_TRAPP_Escherichia_800_2A1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_Escherichia_800_2A1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_Escherichia_800_1A2	Escherichia coli	not available	not available	23	PXD011071_TRAPP_Escherichia_800_1A2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_Escherichia_800_1A2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_1360_S6_6	Saccharomyces cerevisiae	not available	not available	24	PXD011071_TRAPP_cerevisiae_1360_S6_6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_1360_S6_6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_Sorbic_cerevisiae_PARTRAPP_B_4	Saccharomyces cerevisiae	not available	not available	25	PXD011071_Sorbic_cerevisiae_PARTRAPP_B_4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	Sorbic_cerevisiae_PARTRAPP_B_4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
