accession	pubmed_id	pmc_id	raw_file_count	organism	taxids	experiment_types	pub_license	Reannotated	Reannotation_QC	spectral_file_types
PXD006131	28402676.0	PMC5436099	84	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
PXD006156	30445466.0	PMC6344893	2	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics	CC BY	False	False	GZ;MGF;RAW
PXD003913	27559607.0		36	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD003909	27559607.0		30	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD003917	27559607.0		15	Homo sapiens (human)	9606	Shotgun proteomics		False	False	RAW
PXD015779			6	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD015725	31611391.0	PMC6825314	6	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics	CC BY-NC-ND	False	False	GZ;MGF;RAW
PXD003737	27454319.0	PMC5047652	15	Homo sapiens (human)	9606	Shotgun proteomics; Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
PXD003754	27114452.0	PMC4937518	396	Homo sapiens (human)	9606	Shotgun proteomics	CC BY	False	False	RAW
PXD015751	31747606.0	PMC6910234	245	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY-NC-ND	False	False	MZXML;RAW
PXD013194	31262780.0	PMC8270391	12	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics	NO-CC CODE	False	False	7Z;RAW
PXD008605	29348366.0		52	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD009927	30659061.0		30	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics		False	False	RAW
PXD013183	31064814.0		8	Schizosaccharomyces pombe 927	1264690	Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD010930	30585729.0		4	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics		False	False	GZ;MGF;RAW
PXD010931	30585729.0		4	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics		False	False	GZ;MGF;RAW
PXD013144	31434876.0	PMC6704074	6	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics; Gel-based experiment	CC BY	False	False	RAW
PXD013160	31399640.0	PMC6934410	59	Mus musculus (mouse)	10090	Shotgun proteomics	CC BY	False	False	RAW
PXD014499	31969708.0	PMC7018383	18	Mus musculus (mouse)	10090	Shotgun proteomics	NO-CC CODE	False	False	MZXML;RAW
PXD008680	30361699.0		9	Homo sapiens (human)	9606	Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	MGF;RAW
PXD010988	30443594.0	PMC6235536	6	Escherichia coli	562	Shotgun proteomics	CC BY-NC	False	False	RAW
PXD010950	30610016.0		18	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD010963	30349051.0	PMC6197280	2	Homo sapiens (human)	9606	Shotgun proteomics	CC BY	False	False	RAW
PXD014500	31969708.0	PMC7018383	7	Mus musculus (mouse)	10090	Affinity purification coupled with mass spectrometry proteomics	NO-CC CODE	False	False	MZXML;RAW
PXD006079	29070704.0	PMC5710143	8	Drosophila melanogaster (fruit fly)	7227	Affinity purification coupled with mass spectrometry proteomics	CC BY-NC	False	False	MGF;RAW
PXD003658	27198063.0		30	Arabidopsis thaliana (mouse-ear cress)	3702	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD003643	28317030.0	PMC5354267	146	Ruminococcus gnavus; Homo sapiens (human); Bacteroides caccae; Staphylococcus aureus	33038; 9606; 47678; 1280	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD001080	25109466.0		4	Entamoeba histolytica	5759	Shotgun proteomics		False	False	MZML;RAW
PXD013063	31267744.0	PMC6777711	10	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD013097			28	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD002378	26235782.0	PMC4532879	83	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD013083	0.0		16	Bos taurus (bovine)	9913	Shotgun proteomics		False	False	RAW
PXD008550			114	Equus caballus (horse); Saccharomyces cerevisiae (baker's yeast); Gallus gallus (chicken); Homo sapiens (human); Chaetomium thermophilum; Bos taurus (bovine)	9796; 4932; 9031; 9606; 209285; 9913	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	7Z;RAW;ZIP
PXD008577	29359918.0		8	Pseudomonas aeruginosa pao1	208964	All-ion fragmentation		False	False	RAW
PXD010884	31569265.0	PMC6851497	30	Escherichia coli; Klebsiella pneumoniae 342; Homo sapiens (human); Enterococcus faecalis (streptococcus faecalis)	562; 507522; 9606; 1351	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	MGF;RAW
PXD007250	29256016.0	PMC5814520	20	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD010892	30217814.0		29	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD012494	30943267.0	PMC6464245	49	Homo sapiens (human)	9606	Shotgun proteomics	CC BY	False	False	GZ;MGF;RAW
PXD007928	29107940.0		26	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics		False	False	RAW
PXD012466	32102684.0	PMC7045643	2	Streptococcus pyogenes stab901	1440772	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	GZ;MZML;RAW
PXD011121	30293428.0	PMC6279313	35	Chaetomium thermophilum (strain dsm 1495 / cbs 144.50 / imi 039719); Homo sapiens (human)	759272; 9606	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW;ZIP
PXD000545			60	Synechocystis sp. pcc 6803	1148	Bottom-up proteomics		False	False	RAW
PXD000513			0	Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human)	4932; 9606	Shotgun proteomics		False	False	MZML
PXD001454	25586196.0	PMC4309443	4	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD001609	25774781.0		17	Homo sapiens (human)	9606	Shotgun proteomics		False	False	GZ;RAW
PXD001692	26385339.0	PMC4813692	204	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD001677	25638023.0		1	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	GZ;MS2;RAW
PXD001835	25716199.0	PMC4345284	15	Gallus gallus (chicken)	9031	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD002058	26269332.0		26	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD002159			0	Homo sapiens (human)	9606	Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	MGF;ZIP
PXD002142	23541715.0	PMC3714596	9	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD002169	29356267.0		15	Rattus norvegicus (rat)	10116	Shotgun proteomics		False	False	MGF;RAW
PXD002293	26595419.0	PMC5759928	6	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
PXD002226	26595419.0	PMC5759928	20	Caenorhabditis elegans	6239	Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
PXD001675	27302889.0	PMC4974350	6	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD001538	26535604.0	PMC6207341	34	Arabidopsis thaliana (mouse-ear cress)	3702	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD002987	26560067.0		31	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD003381	21618984.0		48	Escherichia coli	562	Shotgun proteomics; Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD003496	29046292.0		124	Rattus norvegicus (rat)	10116	Shotgun proteomics		False	False	MZXML;RAW
PXD003502	24413531.0	PMC3923297	4	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD003486	27250206.0	PMC4974347	8	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD000685			58	Homo sapiens (human)	9606	Shotgun proteomics		False	False	GZ;RAW
PXD003593	27556644.0	PMC4996428	51	Homo sapiens (human)	9606	Shotgun proteomics	CC BY	False	False	RAW
PXD004107	23541715.0	PMC3714596	9	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD004018	27714937.0	PMC5600274	4	Plasmodium yoelii	5861	Affinity purification coupled with mass spectrometry proteomics	CC BY-NC-ND	False	False	RAW
PXD002992			48	Drosophila melanogaster (fruit fly)	7227	Shotgun proteomics		False	False	RAW
PXD000244	24824344.0		0	Lilium	4688	Bottom-up proteomics		False	False	ZIP
PXD002890	27281784.0		24	Mus musculus (mouse)	10090	Shotgun proteomics		False	False	RAW
PXD004236	27834373.0	PMC5114622	117	Acinetobacter baumannii ab5075	1116234	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD004105	27406709.0		0	Homo sapiens (human)	9606	Shotgun proteomics; Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	ZIP
PXD004692	28059076.0	PMC5227109	80	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD004749	28267312.0	PMC5423704	4	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	APL;RAW
PXD004898	27815530.0		9	Mus musculus (mouse)	10090	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD004920	28430416.0	PMC5441754	96	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW;ZIP
PXD005758			46	Homo sapiens (human)	9606	Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD004009	27981680.0		142	Homo sapiens (human)	9606	Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD005201	28710093.0		12	Mus musculus (mouse)	10090	Shotgun proteomics		False	False	RAW
PXD005012			0	Drosophila melanogaster (fruit fly)	7227	Shotgun proteomics		False	False	SCAN;WIFF
PXD005349	28387473.0		36	Homo sapiens (human)	9606	Shotgun proteomics; Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD005566	28346450.0	PMC5505470	18	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics	NO-CC CODE	False	False	RAW
PXD005601	28135300.0	PMC5279761	0	Leishmania donovani	5661	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	ZIP
PXD005948	28249160.0	PMC5424545	14	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD008418	30575379.0	PMC6407916	37	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
PXD006359	28899088.0		10	Homo sapiens (human); Mus musculus (mouse)	9606; 10090	Gel-based experiment		False	False	MGF;RAW
PXD005612	28982715.0		265	Saccharomyces cerevisiae (baker's yeast)	4932	Shotgun proteomics; Gel-based experiment; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD006816	29222160.0	PMC5795388	87	Mus musculus (mouse)	10090	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD006707	29073188.0	PMC5658093	37	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics	CC BY	False	False	MGF;RAW
PXD006928	29983374.0	PMC6082693	1	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	GZ;MGF;RAW
PXD006938	29983374.0	PMC6082693	1	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	GZ;MGF;RAW
PXD007043	29062044.0	PMC5653651	0	Chaetomium thermophilum	209285	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	MZXML
PXD007185	30057110.0		12	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD009748	30377253.0		4	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics		False	False	RAW;ZIP
PXD007673	29199018.0	PMC5799023	65	Mus musculus (mouse)	10090	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD007695	29275994.0	PMC5764092	18	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD007836			8	Nicotiana benthamiana; Ssrna viruses	4100; 439488	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics		False	False	GZ;MGF;RAW
PXD007862	29249144.0	PMC6092923	27	Homo sapiens (human); Mus musculus (mouse)	9606; 10090	Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD004736	29256494.0	PMC5790613	43	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
PXD009260	30787279.0	PMC6382854	8	Arabidopsis thaliana (mouse-ear cress)	3702	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	MGF;MZML;RAW
PXD008122	29274231.0	PMC5760199	0	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	MZXML
PXD008164	29377668.0	PMC7220801	4	Plasmodium falciparum (isolate 3d7)	36329	Affinity purification coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD008161	30084631.0		54	Arabidopsis thaliana (mouse-ear cress)	3702	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics		False	False	RAW
PXD008337	31296869.0	PMC6624373	26	Rattus norvegicus (rat); Homo sapiens (human)	10116; 9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD008348	30004689.0		8	Saccharomyces cerevisiae (baker's yeast); Escherichia coli	4932; 562	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	MGF;RAW
PXD009000			2	Escherichia coli	562	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD008914	23912277.0		40	Mus musculus (mouse)	10090	Shotgun proteomics; Gel-based experiment		False	False	RAW
PXD008941			0	Equus caballus (horse); Saccharomyces cerevisiae (baker's yeast); Bos taurus (bovine)	9796; 4932; 9913	Shotgun proteomics		False	False	MZXML
PXD008975	29676898.0	PMC5959040	16	Escherichia coli	562	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	MS2;MZXML;RAW
PXD008951			0	Equus caballus (horse); Saccharomyces cerevisiae (baker's yeast); Bos taurus (bovine)	9796; 4932; 9913	Shotgun proteomics		False	False	MZXML
PXD009001	30137231.0		0	Equus caballus (horse); Saccharomyces cerevisiae (baker's yeast); Bos taurus (bovine)	9796; 4932; 9913	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	MZXML
PXD009106	30201955.0	PMC6131548	38	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD009224	30415967.0		66	Escherichia coli; Homo sapiens (human); Staphylococcus aureus	562; 9606; 1280	Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD009284	29656893.0	PMC8108093	144	Homo sapiens (human)	9606	Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD009302	29812912.0		10	Homo sapiens (human)	9606	Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD009641	30068531.0		6	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	GZ;MGF;RAW
PXD009526	29899147.0		9	Drosophila melanogaster (fruit fly)	7227	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD010470	30150748.0	PMC6110835	2	Salmonella enterica subsp. enterica serovar typhimurium	90371	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD009648	30389668.0		3	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	MGF;RAW
PXD009756	30911017.0	PMC6433865	8	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD010468	30930119.0	PMC6467783	6	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics	author_manuscript	False	False	MGF;RAW
PXD009777	30911017.0	PMC6433865	3	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	MGF;RAW;SCAN;WIFF
PXD010070	30074391.0		32	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD010004	31569265.0	PMC6851497	6	Klebsiella pneumoniae 342	507522	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD010124	30343899.0	PMC6791824	16	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD010094	31569265.0	PMC6851497	6	Salmonella phage vb_senms16	1087482	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD010061	30197081.0		4	Homo sapiens (human)	9606	Shotgun proteomics		False	False	RAW
PXD010003	31569265.0	PMC6851497	6	Escherichia coli	562	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD010122			13	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD010352	32620905.0	PMC7334205	21	Mus musculus (mouse)	10090	Affinity purification coupled with mass spectrometry proteomics	CC BY	False	False	MGF;RAW
PXD010222	30146169.0	PMC6221991	150	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD010410	31569265.0	PMC6851497	6	Enterococcus faecalis (streptococcus faecalis)	1351	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD010479	32632294.0		6	Chaetomium thermophilum	209285	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD010483	31569265.0	PMC6851497	6	Acholeplasma laidlawii (strain pg-8a)	441768	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD010481			4	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	MGF;RAW
PXD010385	31569265.0	PMC6851497	6	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD010384	31569265.0	PMC6851497	6	Staphylococcus virus k	221915	Chemical cross-linking coupled with mass spectrometry proteomics	author_manuscript	False	False	RAW
PXD012157			140	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD011036	30651306.0	PMC6442367	124	Equus caballus (horse); Gallus gallus (chicken); Homo sapiens (human); Oryctolagus cuniculus (rabbit); Bos taurus (bovine)	9796; 9031; 9606; 9986; 9913	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	APL;MGF;RAW
PXD011071	30962360.0	PMC6452921	116	Saccharomyces cerevisiae (baker's yeast); Escherichia coli	4932; 562	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics	CC BY	False	False	RAW
PXD011077	30575379.0	PMC6407916	10	Bos taurus (bovine)	9913	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
PXD011312	30487426.0	PMC6313906	20	Rattus norvegicus (rat)	10116	Shotgun proteomics	CC BY	False	False	RAW
PXD011645			5	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	MGF;RAW
PXD011702	30525648.0		18	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD011704	30620560.0	PMC6383985	0	Bos taurus (bovine)	9913	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	ZIP
PXD011931	31572778.0	PMC6764163	46	Rattus norvegicus (rat); Homo sapiens (human); Bos taurus (bovine)	10116; 9606; 9913	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
PXD011806	30609396.0	PMC6486830	75	Mus musculus (mouse)	10090	Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD011995	31377116.0		28	Homo sapiens (human); Caenorhabditis elegans	9606; 6239	Chemical cross-linking coupled with mass spectrometry proteomics; Gel-based experiment		False	False	MGF;RAW
PXD011861	30693776.0		72	Streptococcus pyogenes serotype m2; Cicer arietinum (chickpea) (garbanzo); Equus caballus (horse); Candida albicans (yeast); Escherichia coli; Homo sapiens (human); Oryctolagus cuniculus (rabbit); Bos taurus (bovine)	404330; 3827; 9796; 5476; 562; 9606; 9986; 9913	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics		False	False	RAW
PXD012109	31363125.0	PMC6667459	15	Escherichia coli	562	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD012225			47	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics		False	False	GZ;MGF;RAW
PXD012521	31495888.0	PMC6821277	6	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics	CC BY-NC	False	False	RAW
PXD012546	31283178.0		67	Drosophila melanogaster (fruit fly)	7227	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	MZML;RAW
PXD011459			48	Homo sapiens (human); Schizosaccharomyces pombe	9606; 4896	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics		False	False	APL;MGF;RAW
PXD012624	31287970.0	PMC6616311	6	Schizosaccharomyces pombe	4896	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD012759			216	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics; Gel-based experiment		False	False	MZML;RAW
PXD012723	30988309.0	PMC6465349	3	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD012939			84	Homo sapiens (human); Bos taurus (bovine)	9606; 9913	SWATH MS; Chemical cross-linking coupled with mass spectrometry proteomics		False	False	MGF;RAW
PXD011296			10	Saccharomyces cerevisiae (baker's yeast); Escherichia coli; Homo sapiens (human); Bos taurus (bovine)	4932; 562; 9606; 9913	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW;TGZ
PXD012882	31570499.0	PMC6891087	6	Homo sapiens (human); Xenopus laevis (african clawed frog)	9606; 8355	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	MGF;RAW
PXD013720	31527589.0	PMC6746756	34	Caenorhabditis elegans	6239	Shotgun proteomics	CC BY	False	False	RAW
PXD014067	31547042.0	PMC6835481	12	Homo sapiens (human); Triticum aestivum (wheat)	9606; 4565	Shotgun proteomics	CC BY	False	False	RAW
PXD013769	31578520.0	PMC6859074	6	Saccharomyces cerevisiae (baker's yeast)	4932	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
