source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD065905_Ex2_20240911_JPL_DS23_7_BS_DSBSO_intraday_T25_F	Homo sapiens	not available	not available	mitochondria	not available	11	PXD065905_Ex2_20240911_JPL_DS23_7_BS_DSBSO_intraday_T25_F_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_7_BS_DSBSO_intraday_T25_F.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20250408_JPL_DS45-4_DSBSO_DBCO_SCX_50mMOAc	Homo sapiens	not available	not available	mitochondria	not available	12	PXD065905_Ex2_20250408_JPL_DS45-4_DSBSO_DBCO_SCX_50mMOAc_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20250408_JPL_DS45-4_DSBSO_DBCO_SCX_50mMOAc.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F5	Bacillus subtilis	not available	not available	mitochondria	not available	1	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	5	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE183233_F	Homo sapiens	not available	not available	mitochondria	not available	13	PXD065905_L1_20240815_JPL_DS21_NCE183233_F_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE183233_F.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE15	Homo sapiens	not available	not available	mitochondria	not available	14	PXD065905_L1_20240815_JPL_DS21_NCE15_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE15.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE33	Homo sapiens	not available	not available	mitochondria	not available	15	PXD065905_L1_20240815_JPL_DS21_NCE33_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE33.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241018_CJX_DSBSO_test_Intraday_2	Homo sapiens	not available	not available	mitochondria	not available	16	PXD065905_Ex2_20241018_CJX_DSBSO_test_Intraday_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241018_CJX_DSBSO_test_Intraday_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_6_BS_DSBSO_intraday_T50_T	Homo sapiens	not available	not available	mitochondria	not available	17	PXD065905_Ex2_20240911_JPL_DS23_6_BS_DSBSO_intraday_T50_T_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_6_BS_DSBSO_intraday_T50_T.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_60min_2	Homo sapiens	not available	not available	mitochondria	not available	18	PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_60min_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241225_CJX_DSBSO_test_RT_60min_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE183233_S	Homo sapiens	not available	not available	mitochondria	not available	19	PXD065905_L1_20240815_JPL_DS21_NCE183233_S_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE183233_S.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_60min_1	Homo sapiens	not available	not available	mitochondria	not available	20	PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_60min_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241225_CJX_DSBSO_test_RT_60min_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE18313233_S	Homo sapiens	not available	not available	mitochondria	not available	21	PXD065905_L1_20240815_JPL_DS21_NCE18313233_S_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE18313233_S.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F1	Bacillus subtilis	not available	not available	mitochondria	not available	22	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_120min_1	Homo sapiens	not available	not available	mitochondria	not available	23	PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_120min_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241226_CJX_DSBSO_test_37C_120min_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20220304_CW_DSBSO_FAIMS75	Bacillus subtilis	not available	not available	mitochondria	not available	24	PXD065905_L1_20220304_CW_DSBSO_FAIMS75_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20220304_CW_DSBSO_FAIMS75.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE192530_F	Homo sapiens	not available	not available	mitochondria	not available	25	PXD065905_L1_20240815_JPL_DS21_NCE192530_F_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE192530_F.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_A12	Bacillus subtilis	not available	not available	mitochondria	not available	26	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_A12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_A12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_proteome_rerun	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Bacillus subtilis;AC=NCBITaxon:1423	NT=Homo sapiens;AC=NCBITaxon:9606	mitochondria	not available	27	PXD065905_L1_20250612_JPL_DS48-7_BS_proteome_rerun_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_proteome_rerun.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_3_BS_DSBSO_interday_T50_T	Homo sapiens	not available	not available	mitochondria	not available	28	PXD065905_Ex2_20240911_JPL_DS23_3_BS_DSBSO_interday_T50_T_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_3_BS_DSBSO_interday_T50_T.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250511_CJX_DSBSO_C8_test_new_made_1	Homo sapiens	not available	not available	mitochondria	not available	29	PXD065905_L1_20250511_CJX_DSBSO_C8_test_new_made_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250511_CJX_DSBSO_C8_test_new_made_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_12_BS_DSBSO_intraday_T10_T	Homo sapiens	not available	not available	mitochondria	not available	30	PXD065905_Ex2_20240911_JPL_DS23_12_BS_DSBSO_intraday_T10_T_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_12_BS_DSBSO_intraday_T10_T.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_60min_2	Homo sapiens	not available	not available	mitochondria	not available	31	PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_60min_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241226_CJX_DSBSO_test_37C_60min_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
