source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD006131_B160326_07_Lumos_IN_LK_HSA-BS3_CID35_Rep3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	11	PXD006131_B160326_07_Lumos_IN_LK_HSA-BS3_CID35_Rep3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160326_07_Lumos_IN_LK_HSA-BS3_CID35_Rep3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160627_06_Lumos_LK_IN_190_Myo-BS3_ETciD_Rep1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	12	PXD006131_B160627_06_Lumos_LK_IN_190_Myo-BS3_ETciD_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160627_06_Lumos_LK_IN_190_Myo-BS3_ETciD_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160627_18_Lumos_LK_IN_190_Myo-BS3_ETciD_Rep3	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	13	PXD006131_B160627_18_Lumos_LK_IN_190_Myo-BS3_ETciD_Rep3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160627_18_Lumos_LK_IN_190_Myo-BS3_ETciD_Rep3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160726_04_Lumos_LK_IN_190_Myo-BS3_IncAll_S3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	14	PXD006131_B160726_04_Lumos_LK_IN_190_Myo-BS3_IncAll_S3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160726_04_Lumos_LK_IN_190_Myo-BS3_IncAll_S3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160523_10_Lumos_LK_IN_190_CK-BS3_HCD_Rep1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	15	PXD006131_B160523_10_Lumos_LK_IN_190_CK-BS3_HCD_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160523_10_Lumos_LK_IN_190_CK-BS3_HCD_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160812_13_Lumos_LK_IN_190_Francis_Rib_Fra_EThcD_DT_3	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	16	PXD006131_B160812_13_Lumos_LK_IN_190_Francis_Rib_Fra_EThcD_DT_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160812_13_Lumos_LK_IN_190_Francis_Rib_Fra_EThcD_DT_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160803_08_Lumos_LK_IN_190_PC_BS3_EThcD_DT_2	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	17	PXD006131_B160803_08_Lumos_LK_IN_190_PC_BS3_EThcD_DT_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160803_08_Lumos_LK_IN_190_PC_BS3_EThcD_DT_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160523_18_Lumos_LK_IN_190_CK-BS3_ETD_Rep3	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	18	PXD006131_B160523_18_Lumos_LK_IN_190_CK-BS3_ETD_Rep3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160523_18_Lumos_LK_IN_190_CK-BS3_ETD_Rep3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160803_06_Lumos_LK_IN_190_PC_BS3_BSC_DT_1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	19	PXD006131_B160803_06_Lumos_LK_IN_190_PC_BS3_BSC_DT_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160803_06_Lumos_LK_IN_190_PC_BS3_BSC_DT_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160627_09_Lumos_LK_IN_190_Myo-BS3_HCD_Rep1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	20	PXD006131_B160627_09_Lumos_LK_IN_190_Myo-BS3_HCD_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160627_09_Lumos_LK_IN_190_Myo-BS3_HCD_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160527_08_Lumos_LK_IN_190_CK-BS3_IncAll_S2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	21	PXD006131_B160527_08_Lumos_LK_IN_190_CK-BS3_IncAll_S2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160527_08_Lumos_LK_IN_190_CK-BS3_IncAll_S2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160812_05_Lumos_LK_IN_190_Francis_Rib_Fra_CID_DT_1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	22	PXD006131_B160812_05_Lumos_LK_IN_190_Francis_Rib_Fra_CID_DT_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160812_05_Lumos_LK_IN_190_Francis_Rib_Fra_CID_DT_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160726_03_Lumos_LK_IN_190_Myo-BS3_IncAll_S2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	23	PXD006131_B160726_03_Lumos_LK_IN_190_Myo-BS3_IncAll_S2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160726_03_Lumos_LK_IN_190_Myo-BS3_IncAll_S2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
