source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD013338_Dmel_S2_A_UVctrl_03	Drosophila melanogaster	not available	whole cell lysate	not available	9	PXD013338_Dmel_S2_A_UVctrl_03_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_A_UVctrl_03.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_M_FA_04	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	10	PXD013338_Dmel_S2_M_FA_04_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_M_FA_04.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_dme_s2_wc_dp_uv_adjpep_biorep4_trep2	Drosophila melanogaster	not available	whole cell lysate	not available	11	PXD013338_dme_s2_wc_dp_uv_adjpep_biorep4_trep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	dme_s2_wc_dp_uv_adjpep_biorep4_trep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_M_FA_001	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	12	PXD013338_Dmel_S2_M_FA_001_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_M_FA_001.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_dme_s2_wc_dp_nonuv_radjpep_biorep3_trep2	Drosophila melanogaster	not available	whole cell lysate	not available	13	PXD013338_dme_s2_wc_dp_nonuv_radjpep_biorep3_trep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	dme_s2_wc_dp_nonuv_radjpep_biorep3_trep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_hs_hek_wc_dp_prodirp_uv_adjpep_biorep2_trep1_feb2016	Homo sapiens	not available	whole cell lysate	not available	14	PXD013338_hs_hek_wc_dp_prodirp_uv_adjpep_biorep2_trep1_feb2016_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	hs_hek_wc_dp_prodirp_uv_adjpep_biorep2_trep1_feb2016.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_hs_hek_wc_dp_prodirp_uv_radjpep_biorep3_trep2_jun2016	Homo sapiens	not available	whole cell lysate	not available	15	PXD013338_hs_hek_wc_dp_prodirp_uv_radjpep_biorep3_trep2_jun2016_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	hs_hek_wc_dp_prodirp_uv_radjpep_biorep3_trep2_jun2016.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_J_UVctrl_03	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	16	PXD013338_Dmel_S2_J_UVctrl_03_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_J_UVctrl_03.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_C_FActrl_06	Drosophila melanogaster	not available	whole cell lysate	not available	17	PXD013338_Dmel_S2_C_FActrl_06_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_C_FActrl_06.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_hs_hek_wc_dp_prodirp_nonuv_radjpep_biorep3_trep1_jun2016	Homo sapiens	not available	whole cell lysate	not available	18	PXD013338_hs_hek_wc_dp_prodirp_nonuv_radjpep_biorep3_trep1_jun2016_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	hs_hek_wc_dp_prodirp_nonuv_radjpep_biorep3_trep1_jun2016.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_C_FActrl_001	Drosophila melanogaster	not available	whole cell lysate	not available	19	PXD013338_Dmel_S2_C_FActrl_001_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_C_FActrl_001.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
