source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD056942_Lumos_230911_FAIMS_15	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	11	PXD056942_Lumos_230911_FAIMS_15_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_15.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_31	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	12	PXD056942_Lumos_230911_FAIMS_31_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_31.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_41	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	13	PXD056942_Lumos_230911_FAIMS_41_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_41.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_25	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	14	PXD056942_Lumos_230911_FAIMS_25_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_25.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_40	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	15	PXD056942_Lumos_230911_FAIMS_40_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_40.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_27	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	16	PXD056942_Lumos_230911_FAIMS_27_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_27.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_35	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	17	PXD056942_Lumos_230911_FAIMS_35_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_35.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_37	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	18	PXD056942_Lumos_230911_FAIMS_37_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_37.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_36	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	19	PXD056942_Lumos_230911_FAIMS_36_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_36.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_24	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	20	PXD056942_Lumos_230911_FAIMS_24_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_24.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_19	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	21	PXD056942_Lumos_230911_FAIMS_19_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_19.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_38	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	22	PXD056942_Lumos_230911_FAIMS_38_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_38.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_34	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	23	PXD056942_Lumos_230911_FAIMS_34_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_34.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_26	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	24	PXD056942_Lumos_230911_FAIMS_26_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_26.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_14	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	25	PXD056942_Lumos_230911_FAIMS_14_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_14.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_33	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	26	PXD056942_Lumos_230911_FAIMS_33_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_33.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_17	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	27	PXD056942_Lumos_230911_FAIMS_17_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_17.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_29	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	28	PXD056942_Lumos_230911_FAIMS_29_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_29.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_21	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	29	PXD056942_Lumos_230911_FAIMS_21_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_21.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
