source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_05	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	11	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_05_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_05.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_39	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	12	PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_39_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target2_Tx808_39.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_25	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	13	PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_25_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target4_Tx812_25.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_35	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	14	PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_35_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target2_Tx808_35.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_16	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	15	PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_16_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target4_Tx812_16.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_08	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	16	PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_08_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target2_Tx808_08.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target3_Tx767_18	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	17	PXD003643_Belsom_Rappsilber_CASP11_Target3_Tx767_18_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target3_Tx767_18.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target3_Tx767_12	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	18	PXD003643_Belsom_Rappsilber_CASP11_Target3_Tx767_12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target3_Tx767_12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_23	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	19	PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_23_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target4_Tx812_23.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_19	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	20	PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_19_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target4_Tx812_19.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_30	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	21	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_30_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_30.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_19	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	22	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_19_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_19.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_29	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	23	PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_29_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target2_Tx808_29.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_25	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	24	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_25_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_25.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_29	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	25	PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_29_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target4_Tx812_29.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_26	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	26	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_26_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_26.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
